experiment_id,method,case_index,system_id,rollout_index,seed,source_sdf,source_sha256,load_ok,valid,fully_connected_valid,condition_evaluable,condition_match,pb_evaluable,pb_valid,conditioned_pb_valid,strain_evaluable,strain_energy_kcal_mol,mol_pred_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters,error,runtime_seconds
20260723-03-official-metrics-reevaluation,g_good,0,6pvz__1__1.A__1.C,,,outputs/20260723-01-oracle-mask-repair-pilot/inputs/6pvz__1__1.A__1.C__good.sdf,1bf99b372e165ce1aafd0ffa7e36a0d42415b7585e1b8d525b0e4a807a9c8458,True,True,True,True,True,True,True,True,True,8.093713614112602,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,0.18281852453947067
20260723-03-official-metrics-reevaluation,g_bad,0,6pvz__1__1.A__1.C,,,outputs/20260723-01-oracle-mask-repair-pilot/inputs/6pvz__1__1.A__1.C__bad.sdf,b734cfc27047edb65eced68b95ac5484440eef8f4c42898b16b5bf79a3a69cce,True,True,True,True,True,True,False,False,True,8.178123230859967,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,,0.1838122522458434
20260723-03-official-metrics-reevaluation,g_good,1,7ddl__1__1.A__1.T,,,outputs/20260723-01-oracle-mask-repair-pilot/inputs/7ddl__1__1.A__1.T__good.sdf,c736c43eb956a50ef2c621d43f59563b86b589d26d79d4607ae7695806b9eb42,True,True,True,True,True,True,True,True,True,40.36744689045722,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2.3027705401182175
20260723-03-official-metrics-reevaluation,g_bad,1,7ddl__1__1.A__1.T,,,outputs/20260723-01-oracle-mask-repair-pilot/inputs/7ddl__1__1.A__1.T__bad.sdf,a78c6729f2cf23663973add269dcbe2d401a7f2c2c55e6f2abdb626aff3ad9aa,True,True,True,True,True,True,False,False,True,221.3838167905819,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,,2.2796758664771914
20260723-03-official-metrics-reevaluation,g_good,2,3rog__1__1.A__1.B,,,outputs/20260723-01-oracle-mask-repair-pilot/inputs/3rog__1__1.A__1.B__good.sdf,b103bf8c5e407d4416457242b8f74d39ab7993385f99b055b031a4839df58317,True,True,True,True,True,True,True,True,True,49.29358727532404,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,0.2694210456684232
20260723-03-official-metrics-reevaluation,g_bad,2,3rog__1__1.A__1.B,,,outputs/20260723-01-oracle-mask-repair-pilot/inputs/3rog__1__1.A__1.B__bad.sdf,3c3abb753877de3f42ea4738db2a31dffe591e845044ea28dc81af5bcdbeb82d,True,True,True,True,True,True,False,False,True,136.53593294241614,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,,0.2675014026463032
20260723-03-official-metrics-reevaluation,g_good,3,4bv5__2__1.B__1.D,,,outputs/20260723-01-oracle-mask-repair-pilot/inputs/4bv5__2__1.B__1.D__good.sdf,d73ae8abbf4e69bcd3e4410d16cd45213cd1cccbb62756ab0fac892f5e93a289,True,True,True,True,True,True,True,True,True,21.671755013681434,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,0.10257415473461151
20260723-03-official-metrics-reevaluation,g_bad,3,4bv5__2__1.B__1.D,,,outputs/20260723-01-oracle-mask-repair-pilot/inputs/4bv5__2__1.B__1.D__bad.sdf,cdfe075981c09c63b4553fc117393aa94e68ef18573a9fd4dda329d1e3f5fcb6,True,True,True,True,True,True,False,False,True,24.146081900305287,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,,0.10215050633996725
20260723-03-official-metrics-reevaluation,g_good,4,4f0s__1__1.A__1.B,,,outputs/20260723-01-oracle-mask-repair-pilot/inputs/4f0s__1__1.A__1.B__good.sdf,ca89e3d079f56442d45b594ee129efa861112a3747475c172e0d7460bc64e7f5,True,True,True,True,True,True,True,True,True,50.478929553458585,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,0.6478084055706859
20260723-03-official-metrics-reevaluation,g_bad,4,4f0s__1__1.A__1.B,,,outputs/20260723-01-oracle-mask-repair-pilot/inputs/4f0s__1__1.A__1.B__bad.sdf,5e971a4f30e7b736a3e2556345542cc82ffedcda753b11ac2ae278bcc62ce523,True,True,True,True,True,True,False,False,True,50.78549201446094,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,,0.6687597641721368
